"[all run data]","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders"
,"30","500","22","500","30","500","30","500","30","500","30","500","30","500","30","500","27","500","30","500"
,"30","500","22","500","30","500","30","500","30","500","30","500","30","500","30","500","27","500","30","500"
,"30","500","22","500","30","500","30","500","30","500","30","500","30","500","30","500","27","500","30","500"
,"30","500","22","500","30","500","30","500","30","500","30","500","30","500","30","500","27","500","30","500"
,"30","500","22","500","30","500","30","500","30","500","30","500","30","500","30","500","27","500","30","500"
,"30","500","22","500","30","500","30","500","30","500","30","500","30","500","30","500","27","500","30","500"
,"30","500","22","500","30","500","30","500","30","500","30","500","30","500","30","500","27","500","30","500"
,"30","500","22","500","30","500","30","500","30","500","30","500","30","500","30","500","27","500","30","500"
,"30","500","22","500","30","500","30","500","30","500","30","500","30","500","30","500","27","500","30","500"
,"30","500","22","500","30","500","30","500","30","500","30","500","30","500","30","500","27","500","30","500"
,"30","500","22","500","30","500","30","500","30","500","30","500","30","500","30","500","27","500","30","500"
,"30","500","22","500","30","500","30","500","30","500","30","500","30","500","30","500","27","500","30","500"
,"30","500","22","500","30","500","30","500","30","500","30","500","30","500","30","500","27","500","30","500"
,"30","500","22","500","30","500","30","500","30","500","30","500","30","500","30","500","27","500","30","500"
,"30","500","22","500","30","500","30","500","30","500","30","500","30","500","30","500","27","500","30","500"
,"30","500","22","500","30","500","30","500","30","500","30","500","30","500","30","500","27","500","30","500"
,"30","500","22","500","30","500","30","500","30","500","30","500","30","500","30","500","27","500","30","500"
,"30","500","22","500","30","500","30","500","30","500","30","500","30","500","30","500","27","500","30","500"
,"30","500","22","500","30","500","30","500","30","500","30","500","30","500","30","500","27","500","30","500"
,"30","500","22","500","30","500","30","500","30","500","30","500","30","500","30","500","27","500","30","500"
,"30","500","22","500","30","500","30","500","30","500","30","500","30","500","30","500","27","500","30","500"
,"30","500","22","500","30","500","30","500","30","500","30","500","30","500","30","500","27","500","30","500"
,"30","500","22","500","30","500","30","500","30","500","30","500","30","500","30","500","27","500","30","500"
,"30","500","22","500","30","500","30","500","30","500","30","500","30","500","30","500","27","500","30","500"
,"30","500","22","500","30","500","30","500","30","500","30","500","30","500","30","500","27","500","30","500"
,"30","500","22","500","30","500","30","500","30","500","30","500","30","500","30","500","27","500","30","500"
