"BehaviorSpace results (NetLogo 6.1.1)"
"complete.nlogo"
"best_case"
"03/10/2020 23:41:18:804 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","100","-25","30"
"[run number]","attacker-number-beach-a","initial-number-defending-b26","initial-number-attacking-b26","initial-number-t33","defender-number-base-a","initial-number-seaFury","attacker-number-beach-b","defender-number-base-b","show-health","defender-number-base-c","show-ammo","[step]","count defenders","count attackers"
"2","15","0","20","0","200","0","15","200","false","100","false","18","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","16","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","13","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","15","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","19","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","18","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","17","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","16","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","13","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","20","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","14","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","19","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","18","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","14","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","21","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","17","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","20","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","15","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","22","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","15","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","19","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","21","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","18","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","16","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","16","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","20","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","23","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","22","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","17","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","19","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","17","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","24","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","23","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","18","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","20","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","21","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","18","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","25","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","19","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","22","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","24","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","21","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","19","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","26","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","20","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","25","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","23","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","20","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","27","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","21","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","22","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","26","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","24","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","21","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","22","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","28","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","27","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","25","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","23","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","23","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","22","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","29","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","28","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","26","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","24","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","24","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","30","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","23","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","29","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","25","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","25","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","31","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","27","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","24","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","26","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","32","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","30","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","28","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","26","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","25","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","33","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","31","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","27","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","29","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","27","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","34","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","32","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","28","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","30","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","26","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","28","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","35","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","33","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","31","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","29","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","29","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","27","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","36","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","32","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","34","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","30","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","30","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","28","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","37","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","31","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","33","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","35","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","31","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","29","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","38","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","32","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","36","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","34","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","32","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","39","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","33","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","37","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","35","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","33","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","30","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","40","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","38","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","36","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","34","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","34","500","30"
"2","15","0","20","0","200","0","15","200","false","100","false","41","500","30"
"3","15","0","20","0","200","0","15","200","false","100","false","31","500","30"
"4","15","0","20","0","200","0","15","200","false","100","false","39","500","30"
"1","15","0","20","0","200","0","15","200","false","100","false","37","500","30"
"6","15","0","20","0","200","0","15","200","false","100","false","35","500","30"
"5","15","0","20","0","200","0","15","200","false","100","false","35","500","30"
