"BehaviorSpace results (NetLogo 6.1.1)"
"complete.nlogo"
"experiment"
"03/10/2020 19:51:26:889 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","100","-25","30"
"[run number]","attacker-number-beach-a","defender-number-base-a","initial-number-attacking-b26","initial-number-defending-b26","initial-number-t33","initial-number-seaFury","attacker-number-beach-b","defender-number-base-b","show-health","defender-number-base-c","show-ammo","[step]","count turtles","count attackers","count defenders"
"1","15","200","0","11","5","5","15","200","false","100","false","7","551","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","8","553","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","12","554","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","13","555","29","500"
"8","15","200","7","11","5","5","15","200","false","100","false","14","558","30","500"
"2","15","200","1","11","5","5","15","200","false","100","false","10","552","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","13","557","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","10","555","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","9","553","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","14","555","29","500"
"1","15","200","0","11","5","5","15","200","false","100","false","8","551","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","13","554","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","15","557","29","500"
"2","15","200","1","11","5","5","15","200","false","100","false","11","552","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","11","555","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","10","553","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","14","557","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","15","555","29","500"
"1","15","200","0","11","5","5","15","200","false","100","false","9","551","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","14","554","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","16","557","29","500"
"5","15","200","4","11","5","5","15","200","false","100","false","12","555","30","500"
"2","15","200","1","11","5","5","15","200","false","100","false","12","552","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","11","553","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","15","557","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","16","555","29","500"
"1","15","200","0","11","5","5","15","200","false","100","false","10","551","30","500"
"4","15","200","3","11","5","5","15","200","false","100","false","15","554","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","17","557","29","500"
"5","15","200","4","11","5","5","15","200","false","100","false","13","555","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","16","557","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","12","553","30","500"
"2","15","200","1","11","5","5","15","200","false","100","false","13","552","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","17","555","29","500"
"4","15","200","3","11","5","5","15","200","false","100","false","16","554","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","18","557","29","500"
"5","15","200","4","11","5","5","15","200","false","100","false","14","555","30","500"
"2","15","200","1","11","5","5","15","200","false","100","false","14","552","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","13","553","30","500"
"1","15","200","0","11","5","5","15","200","false","100","false","11","551","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","17","557","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","18","555","29","500"
"8","15","200","7","11","5","5","15","200","false","100","false","19","557","29","500"
"4","15","200","3","11","5","5","15","200","false","100","false","17","554","30","500"
"1","15","200","0","11","5","5","15","200","false","100","false","12","551","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","14","553","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","18","557","30","500"
"5","15","200","4","11","5","5","15","200","false","100","false","15","555","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","19","555","29","500"
"2","15","200","1","11","5","5","15","200","false","100","false","15","552","30","500"
"8","15","200","7","11","5","5","15","200","false","100","false","20","557","29","500"
"4","15","200","3","11","5","5","15","200","false","100","false","18","554","30","500"
"1","15","200","0","11","5","5","15","200","false","100","false","13","551","30","500"
"7","15","200","6","11","5","5","15","200","false","100","false","19","557","30","500"
"3","15","200","2","11","5","5","15","200","false","100","false","15","553","30","500"
"6","15","200","5","11","5","5","15","200","false","100","false","20","555","29","500"
"2","15","200","1","11","5","5","15","200","false","100","false","16","552","30","500"
