"BehaviorSpace results (NetLogo 6.1.1)"
"complete.nlogo"
"tkim338"
"03/10/2020 20:27:29:820 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","100","-25","30"
"show-ammo","false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",,"false",
"[reporter]","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers"
"[final]","500","0","500","0","500","0","500","0","500","0","500","0","498","0","500","0","500","0","500","0","500","0","500","0","499","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","481","0","498","0","441","0","496","0","495","0","470","0","465","0","500","0","500","0","500","0","500","0","500","0","485","0","500","0","500","0","500","0","500","0"
"[min]","500","0","500","0","500","0","500","0","500","0","500","0","498","0","500","0","500","0","500","0","500","0","500","0","499","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","500","0","481","0","498","0","441","0","496","0","495","0","470","0","465","0","500","0","500","0","500","0","500","0","500","0","485","0","500","0","500","0","500","0","500","0"
"[max]","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30"
"[mean]","500","18.778139703221136","500","18.67593622543567","500","18.42504409171076","500","17.720206264323913","500","20.82074959261271","500","21.969745222929937","498.55159095089203","18.885966525657533","500","18.888105399888662","500","19.71630677587491","500","18.082456799398948","500","12.300307219662058","500","17.590225563909776","499.2687025659559","18.626310083122515","500","15.108296267646491","500","22.127651369070573","500","17.766673507079826","500","13.631556503198293","500","16.627017334130304","500","18.82323605467307","500","14.678295997062063","500","16.006782726656116","500","23.404319136172766","500","14.600194868463786","500","17.29489468047126","500","17.123008521674695","500","17.2797481636936","500","14.633975970941604","500","18.114637904468413","500","17.37405026300409","500","20.93847874720358","500","18.867643279362632","500","22.114911080711355","500","16.19309838472834","500","19.72396819386596","500","14.696234843650288","500","17.58298171589311","500","18.942778793418647","496.3116811219782","18.780217752352833","498.96460340993326","14.287620459599703","487.5307324254693","18.706845785793153","498.75010125556906","19.25799918995545","499.0312962050271","12.47067520946279","487.97654662973224","16.69012003693444","493.4080595389363","16.281357778181157","500","16.06269658209268","500","17.137064944384644","500","20.099753086419753","500","22.428784489187173","500","19.29755944931164","493.4467791939373","17.14640027557699","500","10.569256756756756","500","18.622265625","500","19.07829373650108","500","13.922063037249284"
"[steps]","5525","5525","5393","5393","4535","4535","5235","5235","1840","1840","1883","1883","5436","5436","5388","5388","2685","2685","5323","5323","5207","5207","2393","2393","5533","5533","5170","5170","2592","2592","4872","4872","2344","2344","1672","1672","5413","5413","5445","5445","4422","4422","1666","1666","3078","3078","2800","2800","5397","5397","4764","4764","3578","3578","3244","3244","1710","1710","1787","1787","3890","3890","1461","1461","4085","4085","2640","2640","1566","1566","1421","1421","5469","5469","5418","5418","5395","5395","5433","5433","2468","2468","4057","4057","5414","5414","5508","5508","4768","4768","2786","2786","2024","2024","2681","2681","3195","3195","2902","2902","2959","2959","2559","2559","1851","1851","1744","1744"

"[all run data]","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers","count defenders","count attackers"
,"500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30","500","30"
