"BehaviorSpace results (NetLogo 6.1.1)"
"complete.nlogo"
"experiment"
"03/10/2020 19:52:50:578 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","100","-25","30"
"[steps]","531","531","531","292","292","292","362","362","362","764","764","764","693","693","693","711","711","711","971","971","971","525","525","525","494","494","494","586","586","586","518","518","518","708","708","708","1216","1216","1216","1329","1329","1329","509","509","509","1340","1340","1340","995","995","995","777","777","777","938","938","938","877","877","877","411","411","411"

"[all run data]","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders","count turtles","count attackers","count defenders"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","556","30","500","557","30","500","558","30","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","570","30","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","556","30","500","557","30","500","558","30","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","570","30","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","556","30","500","557","30","500","558","30","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","570","30","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","556","30","500","557","30","500","558","30","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","570","30","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","556","30","500","557","30","500","558","30","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","570","30","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","556","30","500","557","30","500","558","30","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","570","30","500","571","30","500"
,"551","30","500","552","30","500","553","30","500","554","30","500","555","30","500","556","30","500","557","30","500","558","30","500","559","30","500","560","30","500","561","30","500","562","30","500","563","30","500","564","30","500","565","30","500","566","30","500","567","30","500","568","30","500","569","30","500","570","30","500","571","30","500"
